species,dataset,origin,N_sequences,N_coordinate,Prop_coordinate,N_haplotypes,proportion haplo/sequences,N_ABGD,N_GMYC,genD_median,genD_max,MRCA,geoD_median,geoD_mean,geoD_max,Mantel_r,Mantel_p,Tajima_D,N_segregating_sites,Fu_Li_F,Fu_Li_D,Fst,Chi2,min_derivative,15_derivative,60_derivative,ANeCA_positives,ANeCA_negatives
Adineta grandis,main,Antarctica,90,90,100,33,0.367,2,1,0.0046,0.0303,-0.55401,223,587,2930,0.015,0.392,-3.43548,7,-1.11892596,-1.3805745,0.094447028,1043,0.17928,0.5416,0.24442,1,15
Adineta vaga,main,other,203,182,89.66,113,0.557,36,38,0.1237,0.2021,-0.82876,619,2334,19274,0.1156,0.001,-1.632711,88,-1.00902595,-1.2270021,0.25243285,6573.6,0.45898,0.7548,0.58505,2,16
Macrotrachela quadricornifera,main,other,112,91,81.25,72,0.643,20,19,0.1227,0.1918,-0.84139,575,638,3449,0.2572,0.001,-3.343947,18,-1.01346657,-0.76921,0.28724155,4037.8,0.51949,0.835,0.63184,2,16
Philodina citrina,main,other,62,61,98.39,32,0.516,8,8,0.1075,0.1469,-0.69204,887,1338,3720,0.1846,0.001,-2.941474,42,0.46577368,0.2383661,0.34061015,870.1,0.32468,0.6396,0.3268,1,9
Philodina flaviceps,main,other,86,86,100,49,0.57,8,9,0.1262,0.1802,-0.77019,15,15,52,0.4005,0.001,-1.914909,74,1.06975582,1.0495494,0.17277822,950.5,0.38604,0.7438,0.45575,5,19
Philodina gregaria,main,Antarctica,228,228,100,34,0.149,1,1,0.0045,0.0272,-0.64034,222,457,3593,0.659,0.001,-3.627374,2,-1.17084646,-1.2493646,0.51004481,4007.4,0.06187,0.3624,0.1604,6,13
Philodina megalotrocha,main,other,191,191,100,101,0.529,22,24,0.1529,0.1997,-0.84618,751,2679,15513,0.1647,0.001,-0.5454386,112,-0.03594794,-0.3782096,0.279255354,8381.9,0.40369,0.7318,0.55314,4,39
Rotaria rotatoria,main,other,802,799,99.63,299,0.373,88,99,0.1452,0.2216,-0.85789,1636,2814,15447,0.4026,0.001,-1.962265,64,0.0512079,0.2472205,0.34923991,71196.4,0.20241,0.9055,0.71009,16,73
Rotaria sordida,main,other,66,64,96.97,48,0.727,20,19,0.112,0.169,-0.72931,860,2055,17839,0.2135,0.005,-2.310469,78,-1.15004114,-1.3572291,0.13003388,1414.3,0.6048,0.8701,0.62674,1,13
Adineta gracilis,secondary,other,31,NA,NA,17,0.548,5,5,0.1087,0.1968,-0.8099,NA,NA,NA,NA,NA,-4.0267,NA,NA,NA,NA,NA,0.3611,0.4954,NA,NA,NA
Dissotrocha aculeata,secondary,other,25,NA,NA,21,0.84,10,10,0.1655,0.2161,-0.71644,NA,NA,NA,NA,NA,-3.4544,NA,NA,NA,NA,NA,0.6928,0.808,NA,NA,NA
Dissotrocha macrostyla,secondary,other,40,NA,NA,20,0.5,11,11,0.1537,0.1953,-0.72437,NA,NA,NA,NA,NA,-3.4708,NA,NA,NA,NA,NA,0.1567,0.567,NA,NA,NA
Macrotrachela multispinosa,secondary,other,16,NA,NA,9,0.563,3,1,0.0076,0.1549,-0.82126,NA,NA,NA,NA,NA,-3.9538,NA,NA,NA,NA,NA,0.3835,0.3835,NA,NA,NA
Philodina plena,secondary,other,45,NA,NA,27,0.6,7,1,0.0429,0.1641,-0.92255,NA,NA,NA,NA,NA,-2.2522,NA,NA,NA,NA,NA,0.4465,0.6299,NA,NA,NA
Pleuretra lineata,secondary,other,49,NA,NA,23,0.469,6,6,0.0698,0.1744,-0.92614,NA,NA,NA,NA,NA,-3.246,NA,NA,NA,NA,NA,0.3291,0.4955,NA,NA,NA
Rotaria tardigrada,secondary,other,23,NA,NA,23,1,7,8,0.1266,0.1886,-0.67263,NA,NA,NA,NA,NA,-3.906,NA,NA,NA,NA,NA,1,1,NA,NA,NA
Adineta editae,secondary,Antarctica,17,17,100,10,0.588,1,1,0.0045,0.0168,-0.43908,NA,NA,NA,NA,NA,-2.4633,NA,NA,NA,NA,NA,0.4706,0.471,NA,NA,NA
Adineta emsliei,secondary,Antarctica,47,47,100,13,0.277,1,1,0.0233,0.0701,-0.53428,NA,NA,NA,NA,NA,-0.8709,NA,NA,NA,NA,NA,0.1082,0.2749,NA,NA,NA
Habrotrocha antarctica,secondary,Antarctica,23,23,100,18,0.783,3,1,0.0462,0.1421,-0.77026,NA,NA,NA,NA,NA,-2.9589,NA,NA,NA,NA,NA,0.6597,0.7199,NA,NA,NA
Habrotrocha devetteri,secondary,Antarctica,22,22,100,9,0.409,1,1,0.0061,0.0343,-0.44273,NA,NA,NA,NA,NA,-1.9761,NA,NA,NA,NA,NA,0.2317,0.276,NA,NA,NA
Macrotrachela ioannae,secondary,Antarctica,32,32,100,16,0.5,1,1,0.0102,0.0206,-0.4424,NA,NA,NA,NA,NA,-0.3986,NA,NA,NA,NA,NA,0.2561,0.4588,NA,NA,NA
Macrotrachela jankoi,secondary,Antarctica,17,17,100,15,0.882,1,1,0.0506,0.1011,-0.59923,NA,NA,NA,NA,NA,-3.1088,NA,NA,NA,NA,NA,0.7786,0.7924,NA,NA,NA
Philodina dartnallis,secondary,Antarctica,15,15,100,6,0.4,3,1,0.0876,0.1045,-0.6158,NA,NA,NA,NA,NA,-3.8369,NA,NA,NA,NA,NA,0.2676,0.2676,NA,NA,NA
