"Category","Actinobacteria_noname","Alphaproteobacteria_noname","Comamonadaceae","Burkholderiales_noname","Pseudomonadaceae","Chroococcales_noname","Moraxellaceae","Sphingomonadaceae","Aeromonadaceae","Caulobacteraceae","Burkholderiaceae","Flavobacteriaceae","Campylobacteraceae","Bacteroidaceae","Bifidobacteriaceae","Ruminococcaceae","Neisseriaceae","Enterobacteriaceae","Oxalobacteraceae","Rhodocyclaceae","Sphingobacteriaceae","Desulfovibrionaceae","Prevotellaceae","Rikenellaceae","Methanosaetaceae","Eubacteriaceae","Flavobacteriales_noname","Porphyromonadaceae","Coriobacteriaceae","Dermatophilaceae","Microbacteriaceae","Methylophilaceae","Hyphomicrobiaceae","Lachnospiraceae","Rhodobacteraceae","Deinococcaceae","Verrucomicrobiaceae","Xanthomonadaceae","Veillonellaceae","Oscillatoriales_noname","Rhizobiaceae","Bradyrhizobiaceae","Peptostreptococcaceae","Micromonosporaceae","Acidithiobacillaceae","Erythrobacteraceae","Methanobacteriaceae","Methanoregulaceae","Sinobacteraceae","Bacteroidales_noname","Alcaligenaceae","Shewanellaceae","Nitrospiraceae","Nitrosopumilaceae","Acidaminococcaceae","Nocardioidaceae","Nostocaceae","Methylocystaceae","Streptococcaceae","Oscillospiraceae","Leptotrichiaceae","Cytophagaceae","Holosporaceae","Solirubrobacterales_unclassified","Sutterellaceae","Micrococcaceae","Hydrogenophilaceae","Podoviridae","Phyllobacteriaceae","Corynebacteriaceae","Siphoviridae","Rhodospirillaceae","Eimeriidae","Herpetosiphonaceae","Dietziaceae","Pelobacteraceae","Erysipelotrichaceae","Xanthobacteraceae","Chlorobiaceae","Methylococcaceae","Chromatiaceae","Gallionellaceae","Acidobacteriaceae","Viruses_noname","Helicobacteraceae","Potyviridae","Myoviridae","Partitiviridae","Rhodospirillales_noname","Acetobacteraceae","Geodermatophilaceae","Legionellaceae","Baculoviridae","Gordoniaceae","Lactobacillaceae","Synergistaceae","Methanospirillaceae","Rhodobiaceae","Methanosarcinaceae","Deinococcales_unclassified","Beijerinckiaceae","Thiotrichaceae","Desulfomicrobiaceae","Methylobacteriaceae","Betaproteobacteria_noname","Clostridiaceae","Geobacteraceae"
"IsSu1510",67.82301,23.16042,1.40972,0.03513,0,4.88909,0,2.05463,0,0.36212,0.01597,0.00245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B4EST7-8",12.12764,3.19764,22.95159,9.58454,8.84339,0.19594,4.99002,2.34904,4.2433,3.78291,3.87373,3.1407,2.98981,1.61773,1.05889,1.04156,1.02703,0.97838,0.93739,0.84295,0.824,0.79253,0.75922,0.7279,0.69214,0.49067,0.44896,0.44138,0.39446,0.37384,0.35432,0.34768,0.3457,0.34046,0.32002,0.27153,0.24999,0.21535,0.21247,0,0.16456,0.14677,0.13362,0.12233,0.11325,0.10687,0.0768,0.07025,0.06657,0.05543,0.05113,0.05096,0.04958,0.04854,0.04669,0.04621,0,0.03488,0.03346,0.02371,0.02328,0.01981,0.01906,0.0188,0.01265,0.0124,0.01111,0.01037,0.00896,0.00894,0.00807,0.00799,0,0.0063,0.00473,0.00425,0.0031,0.00181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B4ES1510",38.06158,4.58175,34.38392,1.43187,6.71638,0,2.34079,0.23749,2.96362,0.3992,1.90586,0.78389,2.24048,0.1464,0.13604,0.27562,0.07114,0.15131,0,0.02894,0.37098,0,0.13771,0.12764,0.06742,0.06148,0.24299,0.0541,0.02855,0,0.13808,1.20422,0.09684,0,0,0,0.05224,0,0,0,0,0.03166,0,0,0,0,0.02258,0,0,0,0,0,0.07893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10608,0,0,0.11924,0,0,0,0,0,0,0,0,0,0.02887,0,0,0,0,0.03609,0.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B2DE1212",58.17662,5.09264,26.19144,0.13373,0.33786,0.00108,0,0.06077,0.02287,0,1.76583,0.10029,0.32545,0.00297,0,0,0,0,0.00712,0,0.04606,0,0,0,0,0,0.03711,0,0,0,0,7.40734,0,0.03294,0,0.00586,0,0,0,0.00349,0,0.04615,0,0,0,0,0,0,0,0,0,0,0.02511,0,0,0,0,0,0,0,0,0,0.00338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02085,0,0,0,0,0,0,0
"VaIP1510",47.59163,4.91333,2.89678,0.07729,0.11159,1.64823,0,0,0,0.0709,0.18431,0,24.25025,0,0,0,0,0,0,0.19503,0,0,0,0,0,0,0,0,0,0,0,15.17124,0,0,0,0,0,0,0,0.15502,0,0,0,0,0,0,0,0.71155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18961,0,0,0,0,0,0,0,0,0,0,0.66975,0.31985,0.41103,0.42838,0,0,0.00424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VaFon119",74.58359,8.35546,1.81713,1.0041,0.62125,2.4611,0,0,0.06531,0.08846,0.20418,0,0.77296,0,0,0,0,0,0,0.25812,0,0,0,0,0,0,0,0,0,0,0,6.64794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84412,0,0,0,0,0,0,0,0,0,0,0.1235,0.72894,0.3458,0,0,0,0,0.04338,0,0.22975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B1EFF7-8",37.96446,16.88832,36.65534,0.58083,0.86123,2.99695,0.45587,1.51492,0.12193,0.39589,0.09776,0.11718,0.25108,0,0,0.03921,0,0.10408,0.134,0.46996,0,0,0,0,0,0,0,0,0,0,0,0.14546,0,0,0.02212,0.02992,0,0,0,0.00503,0,0,0,0,0,0,0,0,0.04034,0,0,0,0,0,0,0,0,0,0,0,0,0.0236,0,0,0,0,0,0,0,0,0,0.00663,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03904,0,0,0,0.01209,0.00764,0,0,0,0,0,0,0,0,0,0.01911,0,0,0,0,0,0
"B1EF1510",82.21849,4.67043,6.97525,0.24813,0.0597,1.2232,0,3.05875,0.10579,0,0.09776,0.08161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25803,0,0,0,0,0.33102,0,0,0,0,0,0,0,0.57792,0,0.01137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00638,0.03866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B1EF1212",71.48805,7.17297,11.58802,0,0,0,0,0.07691,0,0,1.41491,0.02941,0.11505,0,0,0,0,0,0,0,0.02471,0,0,0,0,0,0.0219,0,0,0,0,7.8961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00151,0,0,0,0,0,0,0.13072,0,0.03975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B4ES1212",52.3728,10.75685,20.25314,0.80896,0.74992,0.04202,0.45534,0.091,0.55921,0.07913,1.80684,0.15414,0.81535,0.40596,0.13657,0.35025,0,0.06193,0.04892,0.00398,0.32318,0.01758,0.20001,0.10755,0,0.15735,0.15095,0.05254,0.0575,0,0,8.28261,0,0.04593,0,0,0.02448,0,0.01534,0,0,0,0.0045,0,0,0,0,0,0.02408,0,0,0,0.02331,0,0,0,0,0,0,0,0,0.01569,0.0059,0,0,0,0,0,0,0,0,0,0.00969,0,0,0,0,0,0,0.41173,0,0.0427,0,0,0.01683,0.05825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
