"Category","Actinobacteria_noname","Alphaproteobacteria_noname","Limnohabitans","Thiomonas","Pseudomonas","Acinetobacter","Cyanobium","Polynucleobacter","Arcobacter","Aeromonas","Caulobacter","Sandarakinorhabdus","Riemerella","Bacteroides","Tolumonas","Sphingobium","Brevundimonas","Comamonas","Bifidobacterium","Alicycliphilus","Aquaspirillum","Myroides","Desulfovibrio","Massilia","Prevotella","Alistipes","Pedobacter","Methanosaeta","Thauera","Eubacterium","Flavobacteriales_noname","Faecalibacterium","Sphingopyxis","Dermatophilaceae_unclassified","Escherichia","Collinsella","Hyphomicrobiaceae_unclassified","Subdoligranulum","Pantoea","Paracoccus","Parabacteroides","Methylotenera","Cellvibrio","Asticcacaulis","Polaromonas","Deinococcus","Ruminococcus","Akkermansia","Leucobacter","Acidovorax","Microcystis","Pseudanabaena","Laribacter","Stenotrophomonas","Rhodopseudomonas","Peptostreptococcaceae_noname","Blautia","Sphingobacterium","Actinoplanes","Acidithiobacillus","Janthinobacterium","Azospira","Erythrobacteraceae_unclassified","Barnesiella","Citrobacter","Lachnospiraceae_noname","Mitsuokella","Blastomonas","Variovorax","Sinorhizobium","Herbaspirillum","Shinella","Enterobacter","Cellulophaga","Methanoregulaceae_unclassified","Pseudoxanthomonas","Sinobacteraceae_unclassified","Chryseobacterium","Megamonas","Dorea","Klebsiella","Agromyces","Bacteroidales_noname","Methanobrevibacter","Novosphingobium","Curvibacter","Bordetella","Shewanella","Nitrospira","Candidatus_Nitrosoarchaeum","Azoarcus","Nocardioides","Dialister","Perlucidibaca","Anabaena","Roseburia","Methylocystis","Eggerthella","Yersinia","Bilophila","Methylophilus","Acidaminococcus","Citromicrobium","Delftia","Streptococcus","Leifsonia","Oscillibacter","Enhydrobacter","Sebaldella","Paraprevotella","Methanobacterium","Holospora","Methyloversatilis","Curtobacterium","Dysgonomonas","Hymenobacter","Dechloromonas","Afipia","Sutterella","Kocuria","Agrobacterium","Thiobacillus","Phascolarctobacterium","Bppunalikevirus","Gillisia","Coprococcus","Mesorhizobium","Corynebacterium","Yualikevirus","Azospirillum","Eimeria","Herpetosiphon","Acidaminococcaceae_unclassified","Lactococcus","Dietzia","Emticicia","Pelobacter","Elizabethkingia","Erysipelotrichaceae_noname","Anaeromusa","Xanthobacteraceae_unclassified","Cytophaga","Sulfurospirillum","Nitrosopumilaceae_unclassified","Lamprocystis","Methylomonas","Chlorobium","Gallionellaceae_unclassified","Lyngbya","Chlorobaculum","Oscillatoria","Acidobacteriaceae_unclassified","Viruses_noname","Methylobacter","Sulfurimonas","Potyvirus","I3likevirus","Alphacryptovirus","Rhodospirillales_noname","Roseomonas","Rhodospirillum","Geodermatophilaceae_unclassified","Legionellaceae_unclassified","Nitrosopumilus","Alphabaculovirus","Gordonia","Lactobacillus","Microcoleus","Aminomonas","Methanospirillum","Cupriavidus","Rheinheimera","Paludibacter","Rhodanobacter","Anaerostipes","Verminephrobacter","Magnetospirillum","Rhodobiaceae_unclassified","Microbacterium","Methanomethylovorans","Gluconacetobacter","Sutterellaceae_unclassified","Beijerinckiaceae_unclassified","Hydrogenophilaceae_unclassified","C2likevirus","Hyphomicrobium","Catenibacterium","Ralstonia","Brachymonas","Thiothrix","Achromobacter","Desulfomicrobium","Butyrivibrio","Methylobacterium","Veillonella","Candidatus_Accumulibacter","Clostridium","Geobacter","Novispirillum","Methanosarcina"
"IsSu1510",67.82301,23.16042,1.23696,0.03513,0,0,4.69087,0.01597,0,0,0.13317,2.05463,0,0,0,0,0.22895,0,0,0,0,0.00245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17276,0,0,0,0,0,0.19822,0.19808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B4EST7-8",12.12764,3.19764,20.22435,9.58454,8.53266,4.92134,0.19594,3.87373,2.98852,2.65874,2.40099,0.38169,2.22243,1.61773,1.58456,1.41499,1.08905,1.17785,1.05889,1.0438,0.84493,0.76503,0.76086,0.74814,0.73597,0.7279,0.70052,0.69214,0.65368,0.49067,0.44896,0.43612,0.37422,0.37384,0.36993,0.36009,0.3457,0.33972,0.33952,0.32002,0.31936,0.31636,0.31073,0.29286,0.10206,0.27153,0.26572,0.24999,0.24995,0.2268,0,0,0.18211,0.14753,0.13397,0.13362,0.13095,0.12347,0.12233,0.11325,0.11229,0.11035,0.10687,0.10616,0.10027,0.10025,0.09985,0.09658,0.09609,0.07723,0.07696,0.07576,0.07467,0.07453,0.07025,0.06782,0.06657,0.0649,0.0644,0.06177,0.06005,0.059,0.05543,0.05445,0.05218,0.05142,0.05113,0.05096,0.04958,0.04854,0.04678,0.04621,0.04554,0.0454,0,0.03827,0.03488,0.03437,0.03394,0.03167,0.03132,0.03035,0.02938,0.02922,0.02824,0.02796,0.02371,0.02328,0.02328,0.02324,0.02235,0.01906,0.01858,0.01741,0.01586,0.01403,0.01356,0.0128,0.01265,0.0124,0.01157,0.01111,0.01038,0.01037,0.00982,0.00924,0.00896,0.00894,0.00807,0.00799,0,0.0063,0.00596,0.00521,0.00473,0.00436,0.00425,0.00398,0.0031,0.00267,0.00181,0.00142,0.00128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B4ES1510",38.06158,4.58175,33.79426,1.43187,6.54588,2.34079,0,1.90586,2.24048,2.41091,0.31899,0.21718,0,0.1464,0.5527,0,0.08022,0.30793,0.13604,0,0.07114,0.78389,0,0,0.13771,0.12764,0.37098,0.06742,0.02894,0.06148,0.24299,0.16687,0.0203,0,0.14387,0.02855,0.09684,0.10875,0,0,0.0541,1.20422,0.1705,0,0.22778,0,0,0.05224,0.13808,0,0,0,0,0,0.03166,0,0,0,0,0,0,0,0,0,0.00744,0,0,0,0.05394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02258,0,0,0,0,0.07893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10608,0,0,0,0,0.10211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03609,0.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02887,0,0,0,0,0,0,0,0,0,0,0,0,0.01713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B2DE1212",58.17662,5.09264,25.84897,0.13373,0.33786,0,0,1.76583,0.32545,0.02287,0,0.06077,0,0.00297,0,0,0,0.02465,0,0,0,0.10029,0,0,0,0,0.04606,0,0,0,0.03711,0,0,0,0,0,0,0,0,0,0,7.40734,0,0,0.31782,0.00586,0,0,0,0,0.00108,0,0,0,0.02081,0,0.03294,0,0,0,0.00712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00338,0,0,0,0,0,0.02534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15303,0,0,0.00349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VaIP1510",47.59163,4.91333,2.89678,0.07729,0.11159,0,1.28804,0.18431,24.25025,0,0.0709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03862,0,0,0,0,0,0,0,0,0,0,0,0,15.17124,0,0,0,0,0,0,0,0,0.36019,0.10894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01716,0,0,0,0.02553,0,0,0,0,0,0,0.18961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41103,0.07892,0.3124,0.42838,0.04608,0.35736,0,0,0,0.24093,0.00424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VaFon119",74.58359,8.35546,1.23149,1.0041,0.62125,0,2.24951,0.20418,0.77296,0.06531,0.08846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.64794,0,0,0.52124,0,0,0,0,0,0.21159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06441,0,0,0,0,0,0.80492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06158,0,0,0,0.004,0,0,0,0,0,0,0.84412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3458,0.69743,0.05077,0,0,0.07272,0,0,0,0.0315,0,0.04338,0,0.22975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B1EFF7-8",37.96446,16.88832,34.79429,0.58083,0.83852,0.45587,2.98315,0.0871,0.25108,0.12193,0.31562,1.39491,0.03795,0,0,0.12001,0.04454,1.61791,0,0.15057,0,0.07923,0,0.09935,0,0,0,0,0.46996,0,0,0,0,0,0,0,0,0.03921,0.10408,0.02212,0,0.14546,0.02271,0.03573,0.05799,0.02992,0,0,0,0,0.01379,0,0,0,0,0,0,0,0,0,0.02683,0,0,0,0,0,0,0,0.03458,0,0.00783,0,0,0,0,0,0.04034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0236,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00503,0,0,0,0,0,0,0.03904,0,0,0,0.01209,0,0.00764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01911,0,0,0,0,0.01066,0,0,0,0,0,0,0,0,0,0,0,0
"B1EF1510",82.21849,4.67043,6.87489,0.24813,0.0597,0,1.07347,0.09776,0,0.10579,0,3.04337,0,0,0,0.01538,0,0,0,0,0,0.08161,0,0,0,0,0,0,0,0,0.25803,0,0,0,0,0,0,0,0,0,0,0.33102,0,0,0.09683,0,0,0,0,0,0.14973,0,0,0,0.01137,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57792,0,0,0,0,0,0,0.03752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B1EF1212",71.48805,7.17297,11.42244,0,0,0,0,1.41491,0.11505,0,0,0.07691,0,0,0,0,0,0,0,0,0,0.02941,0,0,0,0,0.02471,0,0,0,0.0219,0,0,0,0,0,0,0,0,0,0,7.8961,0,0,0.16559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13072,0,0.03975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B4ES1212",52.3728,10.75685,19.943,0.80896,0.72296,0.45534,0,1.80684,0.81535,0.39506,0.01211,0.08465,0,0.40596,0.16414,0,0.02594,0.0284,0.13657,0,0,0.15414,0.01758,0,0.20001,0.10755,0.32318,0,0,0.15735,0.15095,0.19173,0.00636,0,0.06193,0.0575,0,0.09363,0,0,0.03697,8.28261,0.02696,0.04108,0.27108,0,0.06489,0.02448,0,0,0.04202,0,0,0,0,0.0045,0.00889,0,0,0,0.04892,0,0,0.01557,0,0.01075,0,0,0.01066,0,0,0,0,0,0,0,0.02408,0,0.00109,0,0,0,0,0,0,0,0,0,0.02331,0,0.00398,0,0.01424,0,0,0.02629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00969,0,0,0,0,0,0,0,0,0,0,0.01569,0,0,0,0.39687,0,0.0427,0,0,0,0,0,0.01486,0.01683,0.05825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
